actor,degree,degree_centrality_denominator
Servicio de Evaluación Ambiental (SEA) de la Región Metropolitana,1,232
Inmobiliaria Universa,1,232
41 vecinos de la comuna de Vitacura,1,232
subcontralor Jorge Reyes,1,232
Junta de Vecinos de la Población Carmen Mena,1,232
inmobiliaria Maestra,1,232
Movimiento de Pobladoras/es en Lucha (MPL),1,232
Universa SpA,1,232
coordinadora vecinal de La Reina,1,232
concejo municipal,1,232
Paulina Bobadilla,1,232
Comisión de Evaluación Ambiental (Coeva) de la Región Metropolitana,1,232
Sofía Moller,1,232
Inmobiliaria Ilumina,1,232
los tradicionales vecinos de Estación Central,1,232
Inmobiliaria Fortaleza Placilla SpA; Inmobiliaria Dalmacia,1,232
vecinos del Territorio 1,1,232
Sergio Echeverría,1,232
algunos vecinos y la alcadesa de Vitacura,1,232
fundación Ciudad del Niño,1,232
municipio de Las Condes,1,232
"los propietarios del inmueble (ocho hermanos Rabat Vilaplana), representados por Andrés Ibarra Videla y Javier Zulueta Videla",1,232
Secretaría Regional Ministerial Metropolitana de Vivienda y Urbanismo (Seremi),1,232
Municipio de Las Condes,1,232
L&L,1,232
la industria inmobiliaria,1,232
Agrupación por la defensa de los vecinos del barrio Estación Central,1,232
ex alcalde Rodrigo Delgado y director de obras,1,232
Inmobiliaria Huidobro,1,232
Municipalidad de Independencia,1,232
grupo de vecinos de Estación Central,1,232
"Inmobiliaria Fortaleza Placilla, Sociedad Placilla, Inmobiliaria Cenit Placilla, Eurocorp Dos, Inmobiliaria Nogales, Inmobiliaria Ecuador Origen, Inmobiliaria Ecuador, Constructora Alonso de Córdova y la Asociación Nacional de Revisores Independientes",1,232
Vacation Rental SpA,1,232
administración del edificio Jacarandá,1,232
19 Juntas de Vecinos de Estación Central,1,232
Municipio de Estación Central,1,232
Viento Sur,1,232
Inmobiliaria Pocuro,1,232
Vecinos Autoconvocados de Av. Centenario,1,232
Corporación de la Defensa del Niño,1,232
vecinos de Rotonda Atenas,1,232
alcalde Joaquín Lavín,1,232
Fundación de la Ciudad del Niño,1,232
"Plaza Egaña SpA, de Inmobiliaria Fundamenta",1,232
un grupo de vecinos,1,232
inmobiliaria Dalmacia,1,232
Inmobiliaria Presidente Riesco S.A.,1,232
Consejo de Defensa del Estado,1,232
condominios de lujo,1,232
Vecinos Unidos 2018,1,232
Municipio de San Joaquín,1,232
Inmobiliaria Morandé 2010 S.A.,1,232
Inmobiliaria Toro Mazotte 115 S.A.,1,232
"Felipe Alessandri, Jorge Alessandri y María Constanza Vergara",1,232
1.750 familias,1,232
Inmobiliaria Casa Grande,1,232
Gobierno / Ministerio de Vivienda y Urbanismo,1,232
fundación ciudadana,1,232
Dirección de Obras Municipal de Pudahuel,1,232
Agrupación Defensa Barrios de Estación Central,1,232
Dirección de Obras Municipales (DOM) de Estación Central,1,232
alcalde Torrealba,1,232
Seremi de Transportes de la Región Metropolitana,1,232
algunos propietarios,1,232
importante agente inmobiliario,1,232
sociedad que impulsa el denominado proyecto Zoccalo,1,232
Secretaría Regional Ministerial de Transportes y Telecomunicaciones,1,232
vecinos del sector oriente,1,232
fundación Defendamos la Ciudad,1,232
Cámara Chilena de la Construcción (CChC),1,232
"Unión Comunal de Juntas de Vecinos de Ñuñoa, la Junta de Vecinos Parque Gorostiaga y un grupo de vecinos de esa comuna",1,232
Inmobiliaria y Constructora Francisco de Riveros,1,232
municipalidad de Las Condes,1,232
vecinos y agrupaciones vecinales de la comuna de Ñuñoa,1,232
Comisión de Evaluación Ambiental de la Región Metropolitana / Servicio de Evaluación Ambiental,1,232
Inmobiliaria Maestra S.A.,1,232
Gabriel Vargas,1,232
autoridades,1,232
Junta de Vecinos N° 12,1,232
Inmobiliaria Mirador del Cerro,1,232
Sociedad Inmobiliaria e Inversiones Ramaq Ltda. e Inmobiliaria e Inversiones Alameda Ltda.,1,232
la Contraloría y diversas autoridades,1,232
Tomás Vodanovic,1,232
inmobiliaria Icalma,1,232
vecinos de Vitacura y Lo Barnechea,1,232
Altoriente,1,232
varias inmobiliarias,1,232
Servicio de Evaluación Ambiental (SEA) y Comisión de Evaluación de la Región Metropolitana de Santiago (Coeva RM),1,232
Municipalidad de Las Condes / Joaquín Lavín,1,232
Una agrupación de vecinos de Las Condes,1,232
la Municipalidad de Las Condes,1,232
Ministerio de Vivienda (Minvu),1,232
los cuatro vecinos,1,232
Director de Obras Municipales,1,232
Municipalidad de Quilicura y vecinos de esa comuna,1,232
un vecino reclamante,1,232
vecinos del denominado Barrio de las Flores,1,232
municipio de Providencia,1,232
Vitacura,1,232
grupo de vecinos de Peñalolén,1,232
Comisión de Evaluación Ambiental Metropolitana,1,232
"Municipalidad de Quilicura, representada por la alcaldesa Paulina Bobadilla",1,232
Comisión de Evaluación del Servicio de Evaluación Ambiental (SEA),1,232
Constructora e Inmobiliaria Presidente Riesco S.A.,1,232
Juan José Tocornal y otros,1,232
Junta de Vecinos del condominio Santuario del Valle,1,232
Inversiones y Comercial San Nicolás Limitada,1,232
Fundación Defendamos La Ciudad,1,232
Unión Española SADP,1,232
Superintendencia del Medio Ambiente (SMA),1,232
vecinos y agrupaciones vecinales de Ñuñoa,1,232
Cencosud Shopping Centers S.A.,1,232
la inmobiliaria del mismo nombre,1,232
distintas inmobiliarias y revisores independientes,1,232
Contraloría,1,232
Asociación Nacional de Magistrados del Poder Judicial,1,232
Consejo Superior de la Corporación Administrativa del Poder Judicial,1,232
Dirección Ejecutiva del SEA,1,232
Miguel Lawner Steiman,1,232
las inmobiliarias,1,232
Vecinos de La Reina,1,232
Consejo Municipal,1,232
vecinos del sector,1,232
Minvu,1,232
Servicio de Vivienda y Urbanismo (Serviu RM),1,232
Municipalidad de Las Condes y Federación de Tenis de Chile,1,232
agrupaciones de vecinos de la comuna,1,232
municipalidad de Estación Central,1,232
Coordinadora Recuperemos San Miguel,1,232
Inmobiliaria y Constructora de la Base III S.A.,1,232
ciudadanía reclamante,1,232
Junta de Vecinos La Portada,1,232
Asociación de Vecinos y Locatarios de Alonso de Córdova,1,232
concejo municipal de Vitacura,1,232
Comisión de Evaluación de la Región Metropolitana,1,232
Fundación Villa San Luis,1,232
Consejo Nacional de Monumentos,1,232
Cencosud Shopping S.A.,1,232
Inmobiliaria y Constructora Francisco de Riveros SpA,1,232
los propietarios de terrenos que se sintieron perjudicados,1,232
un vecino de la Comunidad Ecológica de Peñalolén,1,232
la constructora a cargo de su ejecución,1,232
vecinos de calle Alonso de Córdoba,1,232
grupo de vecinos,1,232
Desarrollos La Dehesa SpA,1,232
los pobladores de la Villa San Luis,1,232
Joaquin Lavín,1,232
DOM de Estación Central,1,232
Junta de vecinos de Lo Curro,1,232
DOM de Las Condes,1,232
"Emilia Ríos, alcaldesa de Ñuñoa",1,232
Coordinadora No al Mall Vivo,1,232
Vivo Corp.,1,232
Comité de Defensa de la Villa San Luis,1,232
Inmobiliaria Lote 18,1,232
Inmobiliaria Nueva El Golf,1,232
"Inmobiliaria Valle La Dehesa, Inversiones Hacienda Abranquil e Inmobiliaria Las Hojas Dos",1,232
"Tomás Vodanovic, alcalde de Maipú",1,232
Inmobiliaria ICalma,1,232
Inmobiliaria y Comercial Quilicura Limitada,1,232
Ilustre Municipalidad de Quilicura,1,232
los propietarios del inmueble,1,232
Seremi de Vivienda Metropolitana,1,232
"Marta Lagos, Bernardo de la Maza o Cristina Bitar",1,232
Inmobiliaria L&L Ltda,1,232
Senadores Rincón y Espinoza,1,232
grupo inmobiliario,1,232
Municipalidad de Maipú,1,232
Comisión de Evaluación Ambiental de la Región Metropolitana de Santiago,1,232
Seremi Metropolitana del Ministerio de Vivienda,1,232
junta de vecinos de Los Trapenses,1,232
inmobiliaria Delabase,1,232
Junta de Vecinos Lomas del Carmen y Junta de Vecinos Santa Rosa de Huechuraba III,1,232
Cencosud (CencoMalls),1,232
