row_id,source_actor,source_type,target_actor,target_type,comuna,tipo_conflicto,url
177,"los propietarios del inmueble (ocho hermanos Rabat Vilaplana), representados por Andrés Ibarra Videla y Javier Zulueta Videla",otro,Secretaría Regional Ministerial Metropolitana de Vivienda y Urbanismo (Seremi),minvu_gobierno,Vitacura,patrimonio,https://www.df.cl/empresas/construccion/el-golpe-de-la-seremi-de-vivienda-y-la-contraloria-a-proyecto-inmobiliario
186,los vecinos,colectivo_vecinal,Municipio de Las Condes,municipio,Vitacura,integracion_social_ds19,https://www.latercera.com/opinion/noticia/viviendas-sociales-vitacura-ganan-los-politicos-pierden-los-pobres/146108/
189,L&L,otro,Servicio de Evaluación Ambiental (SEA),otro,Vitacura,ambiental,https://www.meganoticias.cl/nacional/403314-construccion-conjunto-armonico-portezuelo-vitacura-lo-curro-paralizan-votacion-rechazar-proyecto-falla-de-san-ramon-23-01-2023.html
193,Claudio Orrego,otro,la industria inmobiliaria,inmobiliaria,Estación Central,densidad_altura,https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962018000100144
198,Fundación Defendamos la Ciudad,ong_patrimonial,Municipalidad de Ñuñoa,municipio,Ñuñoa,irregularidad_administrativa,https://interferencia.cl/articulos/fundamenta-denuncian-en-contraloria-estudio-de-sombras-de-controvertido-proyecto-de-cuatro
208,Agrupación por la defensa de los vecinos del barrio Estación Central,colectivo_vecinal,ex alcalde Rodrigo Delgado y director de obras,municipio,Estación Central,irregularidad_administrativa,https://www.hogardecristo.cl/entrevistas/alejandro-verdugo-demolamos-al-menos-una-megatorre/
210,Inmobiliaria Huidobro,otro,Municipalidad de Independencia,municipio,Independencia,irregularidad_administrativa,https://www.elperiodista.cl/2023/08/consejo-municipal-de-independencia-rechaza-conciliacion-con-constructora-huidobro/
211,grupo de vecinos de Estación Central,colectivo_vecinal,Municipalidad de Estación Central,municipio,Estación Central,densidad_altura,https://www.eldinamo.cl/pais/2017/08/29/corte-rechaza-recursos-de-vecinos-por-construccion-de-mas-guetos-verticales-en-estacion-central/
222,"Inmobiliaria Fortaleza Placilla, Sociedad Placilla, Inmobiliaria Cenit Placilla, Eurocorp Dos, Inmobiliaria Nogales, Inmobiliaria Ecuador Origen, Inmobiliaria Ecuador, Constructora Alonso de Córdova y la Asociación Nacional de Revisores Independientes",otro,Contraloría General de la República,otro,Estación Central,irregularidad_administrativa,https://www.latercera.com/pulso/noticia/corte-de-santiago-confirma-invalidacion-de-permisos-de-edificacion-en-estacion-central/CARTTIC7BVB7DJ3543SGTODIUI/
237,Vacation Rental SpA,otro,administración del edificio Jacarandá,otro,Vitacura,otro,https://www.emol.com/noticias/Economia/2018/09/21/921362/Justicia-rechaza-recurso-de-proteccion-contra-comunidad-de-edificio-que-prohibio-uso-de-departamento-como-apart-hotel.html
239,Municipalidad de Las Condes,otro,Municipalidad de Vitacura,municipio,Vitacura,impugnacion_plan_regulador,https://valuaciones.cl/las-condes-le-gana-a-vitacura-juicio-por-terrenos-en-una-de-las-zonas-mas-caras-de-santiago/
241,19 Juntas de Vecinos de Estación Central,junta_vecinos,Municipio de Estación Central,municipio,Estación Central,irregularidad_administrativa,https://www.biobiochile.cl/noticias/artes-y-cultura/actualidad-cultural/2018/12/21/guetos-verticales-las-disputas-entre-los-arquitectos-miguel-lawner-y-humberto-eliash.shtml
243,Viento Sur,colectivo_vecinal,Inmobiliaria Pocuro,inmobiliaria,Peñalolén,ambiental,https://interferencia.cl/articulos/inmobiliaria-pocuro-inicia-tala-de-arboles-nativos-en-penalolen-alto-tras-visto-bueno-de
246,Vecinos Autoconvocados de Av. Centenario,colectivo_vecinal,Corporación de la Defensa del Niño,otro,San Miguel,densidad_altura,https://radiojgm.uchile.cl/vecinos-de-ciudad-del-nino-convocan-a-protestas-por-amenazas-de-guetos-verticales/
248,Su Ksa,otro,Claudio Orrego,otro,Estación Central,ambiental,https://segreader.emol.cl/2017/04/13/A/JI3512LK/light?gt=134207
249,vecinos de Rotonda Atenas,colectivo_vecinal,alcalde Joaquín Lavín,municipio,Las Condes,otro,https://www.hogardecristo.cl/reportajes/viviendas-sociales-en-las-condes-la-verdadera-historia-de-los-postulantes/
250,No + Edificios,colectivo_vecinal,Fundación de la Ciudad del Niño,otro,San Miguel,densidad_altura,https://www.latercera.com/nacional/noticia/el-megaproyecto-que-san-miguel-busca-frenar-construccion-de-23-torres-elevaria-en-18-la-poblacion-de-la-comuna/CTUY7NRWDFAGJKSVUFN43KXK7E/
253,vecinos,colectivo_vecinal,"Plaza Egaña SpA, de Inmobiliaria Fundamenta",inmobiliaria,Ñuñoa,ambiental,https://www.ciperchile.cl/2025/11/18/la-otra-causa-en-que-vivanco-y-simpertigue-fallaron-a-favor-de-clientes-de-lagos-y-vargas-para-destrabar-millonario-proyecto-inmobiliario/
256,un grupo de vecinos,colectivo_vecinal,Municipalidad de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://www.latercera.com/pulso/noticia/corte-suprema-confirma-validez-actuacion-inmobiliaria-nueva-golf-disputa-vecinos-municipalidad-las-condes/973821/
257,inmobiliaria Dalmacia,otro,Contraloría General de la República,otro,Estación Central,densidad_altura,https://interferencia.cl/articulos/guetos-verticales-de-estacion-central-sufren-nuevo-reves-suprema-rechaza-recurso-de
258,Inmobiliaria Presidente Riesco S.A.,otro,Ministerio de Educación,otro,Las Condes,patrimonio,https://es.wikipedia.org/wiki/Villa_Compa%C3%B1ero_Ministro_Carlos_Cort%C3%A9s
263,Consejo de Defensa del Estado,otro,condominios de lujo,otro,Lo Barnechea,ambiental,https://interferencia.cl/casos/proyectos-inmobiliarios-en-area-de-preservacion-ecologica
274,Vecinos Unidos 2018,colectivo_vecinal,Municipio de San Joaquín,municipio,San Joaquín,densidad_altura,https://elquintopoder.cl/medio-ambiente/villa-musicos-del-mundo-y-poblacion-chile-amenazadas-por-la-ambicion-inmobiliaria-en-san-joaquin/
281,Municipalidad de Santiago,otro,Inmobiliaria Morandé 2010 S.A.,inmobiliaria,Santiago,patrimonio,https://elquintopoder.cl/ciudad/pretenden-demoler-edificio-patrimonial-en-comuna-de-santiago/
282,Inmobiliaria Toro Mazotte 115 S.A.,otro,Servicio de Evaluación Ambiental (SEA),otro,Estación Central,ambiental,https://tribunalambiental.cl/sentencia-confirma-rechazo-torres-habitacionales-estacion-central/
291,"Felipe Alessandri, Jorge Alessandri y María Constanza Vergara",ciudadano_individual,Municipalidad de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://www.elmostrador.cl/noticias/pais/2017/10/31/felipe-alessandri-presenta-recurso-contra-municipio-de-lavin-para-defender-su-casa-en-el-barrio-donde-vivio-pinochet/
295,vecinos de Plaza Egaña,colectivo_vecinal,Servicio de Evaluación Ambiental,otro,Ñuñoa,ambiental,https://www.pauta.cl/economia/2022/04/11/alfredo-palominos-fundamenta-rechazo-megaproyecto-inmobiliario-nunoa.html
301,Fundación Defendamos la Ciudad,ong_patrimonial,Municipalidad de Providencia,municipio,Providencia,irregularidad_administrativa,https://elquintopoder.cl/ciudad/en-alemania-el-costanera-center-no-se-construye/
306,1.750 familias,otro,Inmobiliaria Casa Grande,inmobiliaria,Peñalolén,otro,https://interferencia.cl/articulos/pinera-acumulo-sus-primeros-millones-de-dolares-en-el-rubro-de-la-construccion
312,Felipe Muñoz,concejal_politico,Gobierno / Ministerio de Vivienda y Urbanismo,minvu_gobierno,Estación Central,densidad_altura,https://radio.uchile.cl/2026/07/31/alcalde-de-estacion-central-presenta-requerimiento-en-contraloria-por-modificaciones-a-la-ordenanza-general-de-urbanismo/
316,fundación ciudadana,otro,Cencosud,inmobiliaria,Vitacura,irregularidad_administrativa,https://radio.uchile.cl/2021/03/17/paulmann-solicita-a-vitacura-eximirse-del-cumplimiento-de-la-ley/
318,Fundación Defendamos la Ciudad,otro,Dirección de Obras Municipal de Pudahuel,municipio,Pudahuel,irregularidad_administrativa,https://interferencia.cl/articulos/pudahuel-recibe-nuevas-denuncias-por-entregar-cuestionados-permisos-de-edificacion
319,Agrupación Defensa Barrios de Estación Central,colectivo_vecinal,Dirección de Obras Municipales (DOM) de Estación Central,municipio,Estación Central,irregularidad_administrativa,https://www.eldinamo.cl/opinion/2017/09/04/guetos-verticales-todos-los-analizados-por-la-autoridad-son-ilegales/
321,alcalde Torrealba,concejal_politico,Municipalidad de Las Condes,municipio,Vitacura,otro,https://laventanaciudadana.cl/se-trata-solo-de-un-problema-economico/
325,Cenco Malls,otro,Seremi de Transportes de la Región Metropolitana,otro,Vitacura,vial_transito,https://www.ex-ante.cl/economia/cenco-malls-se-ve-obligado-a-no-continuar-con-el-proyecto-cencosud-tira-la-toalla-y-cancela-mall-en-vitacura/
326,algunos propietarios,otro,importante agente inmobiliario,inmobiliaria,Vitacura,otro,https://mundodelaconstruccion.cl/2017/06/28/edificio-la-portada-vitacura-de-icono-a-lunar/
327,Municipalidad de Vitacura,otro,sociedad que impulsa el denominado proyecto Zoccalo,inmobiliaria,Vitacura,irregularidad_administrativa,https://www.linkedin.com/posts/leonardocardenashidalgo_municipalidad-de-vitacura-escala-conflicto-activity-7128183823887937536--4Fy
333,Cenco Malls,otro,Secretaría Regional Ministerial de Transportes y Telecomunicaciones,otro,Vitacura,vial_transito,https://www.t13.cl/noticia/ex-ante/negocios/cenco-malls-no-continuar-proyecto-cencosud-tira-toalla-cancela-mall-vitacura-2-12-2025
334,vecinos del sector oriente,colectivo_vecinal,Ministerio de Vivienda y Urbanismo,minvu_gobierno,Lo Barnechea,integracion_social_ds19,https://cl.techo.org/vivienda-social-en-comunas-de-altos-ingresos-el-desafio-de-integrar-de-verdad/
335,fundación Defendamos la Ciudad,ong_patrimonial,Municipalidad de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://www.elclarin.cl/2020/12/15/que-sucedera-con-los-25-edificios-ilegales-en-las-condes/
339,Cámara Chilena de la Construcción (CChC),otro,Contraloría General de la República,otro,Estación Central,irregularidad_administrativa,https://www.latercera.com/pulso/noticia/cchc-cambio-criterio-contraloria-todas-estas-incertezas-generan-mas-demoras-mayor-riesgo-pone-una-presion-al-precio-las-viviendas/512898/
342,"Unión Comunal de Juntas de Vecinos de Ñuñoa, la Junta de Vecinos Parque Gorostiaga y un grupo de vecinos de esa comuna",junta_vecinos,Servicio de Evaluación Ambiental (SEA),otro,Ñuñoa,ambiental,https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2021/11/26/tribunal-acoge-parcialmente-reclamacion-de-vecinos-por-megaproyecto-inmobiliario-en-plaza-egana.shtml
354,Banco Consorcio,otro,Inmobiliaria y Constructora Francisco de Riveros,inmobiliaria,Vitacura,otro,https://es.linkedin.com/posts/rodrigoandreucciabogado_inmobiliaria-y-constructora-francisco-de-activity-7454849627926822913-Hcys
367,Fundación Defendamos la Ciudad,ong_patrimonial,municipalidad de Las Condes,municipio,Las Condes,irregularidad_administrativa,https://lavozdelosquesobran.cl/hoy/por-ilegalidades-en-el-permiso-de-construccion-fundacion-defendamos-la-ciudad-denuncio-a-la-municipalidad-de-las-condes-a-contraloria-por-edificio-de-la-cchc-en-las-condes/07052021
373,vecinos y agrupaciones vecinales de la comuna de Ñuñoa,colectivo_vecinal,Comisión de Evaluación Ambiental de la Región Metropolitana / Servicio de Evaluación Ambiental,otro,Ñuñoa,ambiental,https://www.df.cl/empresas/construccion/fundamenta-reinicia-obras-de-megaproyecto-egana-comunidad-sustentable
383,No + Edificios,colectivo_vecinal,Inmobiliaria Maestra S.A.,inmobiliaria,San Miguel,densidad_altura,https://radiojgm.uchile.cl/construir-ciudad-el-futuro-de-la-ciudad-del-nino/
411,Gabriel Vargas,otro,autoridades,otro,Peñalolén,otro,https://www.emol.com/noticias/Nacional/2016/10/14/826365/Estas-son-las-estructuras-criticas-de-Santiago-en-caso-de-un-terremoto-en-la-falla-de-San-Ramon.html
413,Junta de Vecinos N° 12,junta_vecinos,Inmobiliaria Mirador del Cerro,inmobiliaria,Providencia,ambiental,https://elsoberano.org/derechos-sociales/vecinos-de-pedro-de-valdivia-norte-se-movilizan-para-prevenir-desastre-urbanistico-por-megaproyecto-inmobiliario/
416,Sociedad Inmobiliaria e Inversiones Ramaq Ltda. e Inmobiliaria e Inversiones Alameda Ltda.,otro,la Contraloría y diversas autoridades,otro,Estación Central,irregularidad_administrativa,https://www.df.cl/empresas/infraestructura-inmobiliaria/guetos-verticales-estacion-central-acelera-propuesta-final-de-cambios
427,Tomás Vodanovic,concejal_politico,inmobiliaria Icalma,inmobiliaria,Maipú,densidad_altura,https://www.df.cl/empresas/construccion/alcalde-de-maipu-congela-permisos-de-nuevas-construcciones-para-evitar
433,vecinos de Vitacura y Lo Barnechea,colectivo_vecinal,Altoriente,inmobiliaria,Lo Barnechea,vial_transito,https://www.latercera.com/pulso/constructora-ebco-modifica-polemico-proyecto-cerro-alvarado-viabilizar-obras/
437,varias inmobiliarias,otro,Contraloría General de la República,otro,Estación Central,irregularidad_administrativa,https://interferencia.cl/casos/guetos-verticales
438,Inmobiliaria Fundamenta,otro,Servicio de Evaluación Ambiental (SEA) y Comisión de Evaluación de la Región Metropolitana de Santiago (Coeva RM),otro,Ñuñoa,ambiental,https://www.latercera.com/pulso/noticia/fundamenta-presenta-reclamacion-por-rechazo-a-proyecto-inmobiliario-en-nunoa-y-denuncia-motivos-politicos/TORJ7OV77VFHRNOJKTSCSK3N7A/
446,Municipalidad de Las Condes / Joaquín Lavín,otro,Municipalidad de Vitacura,municipio,Vitacura,impugnacion_plan_regulador,https://www.emol.com/noticias/Nacional/2017/05/05/857119/De-hasta-70-m2-y-dos-banos-Asi-son-los-departamentos-sociales-que-Lavin-pretende-construir-en-terreno-en-Vitacura.html
450,Una agrupación de vecinos de Las Condes,colectivo_vecinal,la Municipalidad de Las Condes,municipio,Las Condes,densidad_altura,https://www.elperiodista.cl/2020/09/vecinos-de-las-condes-piden-desechar-proyecto-inmobiliario-de-lavin/
456,Fundación Defendamos la Ciudad,otro,Ministerio de Vivienda (Minvu),minvu_gobierno,Las Condes,irregularidad_administrativa,https://www.ciperchile.cl/2014/02/24/el-asesor-del-minvu-que-instalo-%E2%80%9Cleyes-de-amarre%E2%80%9D-que-favorecen-negocios-inmobiliarios/
457,los cuatro vecinos,ciudadano_individual,Director de Obras Municipales,municipio,Ñuñoa,densidad_altura,https://radio.uchile.cl/2018/01/11/vecinos-de-nunoa-las-inmobiliarias-son-un-adversario-dispuesto-a-demorar-y-desgastar/
467,Municipalidad de Vitacura,otro,Cencosud Shopping,inmobiliaria,Vitacura,otro,https://www.df.cl/empresas/retail/cencosud-lanza-proyecto-de-nuevo-centro-comercial-en-vitacura-y-espera
473,Municipalidad de Quilicura y vecinos de esa comuna,otro,Servicio de Evaluación Ambiental,minvu_gobierno,Quilicura,ambiental,https://tribunalambiental.cl/audiencia-vecinos-municipalidad-sea-proyecto-quilicura
478,un vecino reclamante,ciudadano_individual,Municipalidad de Providencia,municipio,Providencia,densidad_altura,https://www.ciperchile.cl/2018/06/06/se-atrevera-la-alcaldesa-evelyn-matthei-a-cumplir-la-ley/
480,vecinos del denominado Barrio de las Flores,colectivo_vecinal,municipio de Providencia,municipio,Providencia,densidad_altura,https://www.biobiochile.cl/noticias/2012/10/20/vecinos-de-providencia-se-manifiestan-en-rechazo-a-proyectos-inmobiliarios-de-altura-en-el-sector.shtml
485,Las Condes,otro,Vitacura,municipio,Vitacura,integracion_social_ds19,https://www.infraestructurapublica.cl/fin-del-conflicto-las-condes-recibira-dinero-para-viviendas-sociales-y-vitacura-tendra-parque/
488,grupo de vecinos de Peñalolén,colectivo_vecinal,Comisión de Evaluación Ambiental Metropolitana,otro,Peñalolén,ambiental,https://tribunalambiental.cl/audiencia-r-212-2019-crillon-sea-proyecto-inmobiliario/
489,"Municipalidad de Quilicura, representada por la alcaldesa Paulina Bobadilla",otro,Comisión de Evaluación del Servicio de Evaluación Ambiental (SEA),otro,Quilicura,ambiental,https://www.cooperativa.cl/noticias/pais/ciudades/santiago/sea-aprobo-construccion-de-megaproyecto-en-quilicura-municipio/2023-02-22/100606.html
490,Constructora e Inmobiliaria Presidente Riesco S.A.,otro,Ministerio de Educación,otro,Las Condes,patrimonio,https://www.cde.gob.cl/corte-suprema-rechazo-recurso-de-proteccion-interpuesto-por-inmobiliaria-que-buscaba-declarar-ilegal-el-caracter-de-monumento-historico-de-la-villa-san-luis/
500,Juan José Tocornal y otros,colectivo_vecinal,Municipalidad de Vitacura,municipio,Vitacura,irregularidad_administrativa,https://www.elmercurio.com/legal/movil/detalle.aspx?Id=903199&Path=/0D/C8/
502,Contraloría General de la República,otro,Municipalidad de Estación Central,municipio,Estación Central,irregularidad_administrativa,https://www.infraestructurapublica.cl/lucha-gigantes-conflicto-contraloria-e-inmobiliarias-camino-avanzar-hacia-una-ciudad-mas-equilibrada/
506,los vecinos,colectivo_vecinal,Municipalidad de Ñuñoa,municipio,Ñuñoa,irregularidad_administrativa,https://www.df.cl/empresas/construccion/se-disparan-proyectos-de-edificios-en-eje-irarrazaval-ante-eventual
508,Claudio Orrego,otro,Su Ksa,inmobiliaria,Estación Central,densidad_altura,https://www.theclinic.cl/2017/04/13/este-hombre-construye-los-guetos-verticales-estacion-central/
510,Junta de Vecinos del condominio Santuario del Valle,junta_vecinos,Inversiones y Comercial San Nicolás Limitada,inmobiliaria,Lo Barnechea,otro,https://www.latercera.com/la-tercera-pm/noticia/se-cae-negocio-de-ministro-valente-en-la-dehesa-direccion-de-obras-de-lo-barnechea-rechaza-proyecto-de-venta-de-canchas-de-tenis/569991/
513,Fundación Defendamos La Ciudad,ong_patrimonial,Unión Española SADP,otro,Independencia,irregularidad_administrativa,https://www.diarioestrategia.cl/texto-diario/mostrar/1038791/independencia-inicia-proceso-invalidar-permiso-construccion-proyecto-inmobiliario-terrenos-estadio-santa-laura
526,Municipalidad de Lo Barnechea,otro,Superintendencia del Medio Ambiente (SMA),otro,Lo Barnechea,ambiental,https://tribunalambiental.cl/sentencia-r-373-2022-loteo-54-casas-barnechea-sma/
533,vecinos y agrupaciones vecinales de Ñuñoa,colectivo_vecinal,Servicio de Evaluación Ambiental (SEA),otro,Ñuñoa,ambiental,https://www.df.cl/empresas/construccion/segundo-tribunal-ambiental-anulo-parcialmente-aprobacion-ambiental-del
537,Defendamos la Ciudad,ong_patrimonial,Cencosud,inmobiliaria,Vitacura,irregularidad_administrativa,https://www.defendamoslaciudad.cl/noticias/item/4749-contraloria-acogio-presentacion-de-defendamos-la-ciudad-estableciendo-la-caducidad-de-antiguos-permisos-de-edificacion
541,Cencosud Shopping Centers S.A.,otro,Municipalidad de Vitacura,municipio,Vitacura,irregularidad_administrativa,https://radio.uchile.cl/2022/04/28/cencosud-via-artimanas-intenta-sobrepasar-la-ley-en-vitacura/
547,la inmobiliaria del mismo nombre,otro,Servicio de Evaluación Ambiental (SEA),otro,Estación Central,ambiental,https://www.latercera.com/pulso/noticia/corte-suprema-falla-megaproyecto-inmobiliario-estacion-central-afectar-medio-humano/933550/
549,distintas inmobiliarias y revisores independientes,otro,Contraloría,otro,Estación Central,irregularidad_administrativa,https://www.emol.com/noticias/Nacional/2020/03/10/979333/Corte-rechaza-recursos-edificios-estacion.html
552,Fundación Defendamos la Ciudad,otro,Municipalidad de Pudahuel,municipio,Pudahuel,irregularidad_administrativa,https://www.diarioestrategia.cl/texto-diario/mostrar/1371111/fundacion-defendamos-ciudad-informe-contraloria-deja-evidencia-desorden-absoluto-direccion-obras-municipalidad-pudahuel
